iter	Passed	Remaining
0	140	140145
1	140	70285
2	141	46988
3	141	35322
4	142	28321
5	142	23662
6	143	20324
7	143	17827
8	144	15889
9	144	14336
10	145	13066
11	145	12015
12	146	11115
13	146	10347
14	147	9684
15	147	9099
16	148	8583
17	148	8124
18	149	7712
19	149	7342
20	150	7010
21	150	6706
22	151	6425
23	151	6167
24	152	5934
25	152	5716
26	153	5516
27	153	5329
28	153	5154
29	154	4991
30	154	4837
31	155	4694
32	155	4559
33	156	4432
34	156	4311
35	156	4198
36	157	4094
37	157	3995
38	158	3900
39	158	3809
40	159	3723
41	159	3642
42	160	3564
43	160	3489
44	161	3418
45	161	3349
46	161	3283
47	162	3220
48	162	3160
49	163	3102
50	163	3046
51	164	2992
52	164	2941
53	165	2892
54	165	2844
55	165	2797
56	166	2753
57	166	2709
58	167	2668
59	167	2627
60	168	2588
61	168	2549
62	168	2512
63	169	2476
64	169	2441
65	170	2407
66	170	2374
67	170	2342
68	171	2311
69	171	2281
70	172	2252
71	172	2224
72	172	2196
73	173	2169
74	173	2142
75	174	2117
76	174	2092
77	174	2067
78	175	2044
79	175	2021
80	176	1998
81	176	1976
82	176	1952
83	177	1931
84	177	1910
85	177	1890
86	178	1871
87	178	1852
88	179	1833
89	179	1814
90	179	1796
91	180	1779
92	180	1761
93	181	1745
94	181	1728
95	181	1712
96	182	1696
97	182	1681
98	183	1668
99	183	1653
100	184	1640
101	184	1626
102	185	1612
103	185	1599
104	186	1586
105	186	1573
106	187	1560
107	187	1548
108	187	1536
109	188	1524
110	188	1512
111	189	1500
112	189	1489
113	190	1478
114	190	1466
115	191	1456
116	191	1444
117	191	1433
118	192	1423
119	192	1413
120	193	1403
121	193	1393
122	194	1383
123	194	1374
124	194	1364
125	195	1355
126	195	1345
127	196	1336
128	196	1328
129	197	1319
130	197	1311
131	198	1302
132	198	1294
133	199	1286
134	199	1278
135	199	1269
136	200	1262
137	200	1254
138	201	1247
139	201	1239
140	202	1232
141	202	1223
142	203	1216
143	203	1209
144	203	1202
145	204	1195
146	204	1188
147	205	1181
148	205	1174
149	206	1168
150	206	1161
151	207	1155
152	207	1148
153	207	1142
154	208	1135
155	208	1129
156	209	1123
157	209	1117
158	210	1111
159	210	1105
160	210	1099
161	211	1093
162	211	1087
163	212	1082
164	212	1076
165	213	1071
166	213	1065
167	214	1060
168	214	1055
169	215	1050
170	215	1044
171	215	1039
172	216	1034
173	216	1029
174	217	1024
175	217	1020
176	218	1015
177	218	1010
178	219	1005
179	219	1001
180	220	996
181	220	991
182	221	987
183	221	982
184	222	978
185	222	973
186	222	969
187	223	964
188	223	960
189	224	956
190	224	951
191	225	947
192	225	943
193	226	939
194	226	935
195	226	931
196	227	927
197	227	923
198	228	919
199	228	915
200	229	911
201	229	907
202	230	903
203	230	899
204	230	895
205	231	892
206	231	888
207	232	884
208	232	880
209	233	877
210	233	874
211	234	870
212	234	867
213	235	863
214	235	860
215	235	856
216	236	853
217	236	849
218	237	846
219	237	842
220	238	839
